step,ego_x,ego_y,ego_theta,ego_v,obs_x,obs_y,goal_x,goal_y,plan_k,plan_x,plan_y,num_scenarios,num_constraints
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,0,0.0000,0.0000,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,1,0.1150,-0.0003,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,2,0.2598,-0.0038,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,3,0.4345,-0.0117,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,4,0.6391,-0.0220,5,80
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,0,0.1150,-0.0003,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,1,0.2599,-0.0032,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,2,0.4346,-0.0117,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,3,0.6391,-0.0251,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,4,0.8736,-0.0401,3,48
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,0,0.2599,-0.0032,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,1,0.4347,-0.0104,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,2,0.6393,-0.0208,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,3,0.8739,-0.0341,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,4,1.1380,-0.0548,4,64
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,0,0.4347,-0.0104,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,1,0.6393,-0.0216,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,2,0.8741,-0.0263,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,3,1.1385,-0.0105,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,4,1.4323,0.0142,10,160
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,0,0.6393,-0.0216,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,1,0.8734,-0.0408,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,2,1.1366,-0.0714,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,3,1.4283,-0.1146,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,4,1.7485,-0.1696,7,112
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,0,0.8734,-0.0408,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,1,1.1364,-0.0728,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,2,1.4285,-0.1135,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,3,1.7500,-0.1607,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,4,2.1001,-0.2191,6,96
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,0,1.1364,-0.0728,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,1,1.4281,-0.1161,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,2,1.7487,-0.1691,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,3,2.0975,-0.2348,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,4,2.4750,-0.3099,14,224
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,0,1.4281,-0.1161,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,1,1.7471,-0.1774,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,2,2.0946,-0.2496,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,3,2.4725,-0.3229,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,4,2.8776,-0.4127,5,80
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,0,1.7471,-0.1774,10,160
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,1,2.0948,-0.2485,10,160
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,2,2.4731,-0.3198,10,160
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,3,2.8788,-0.4066,10,160
8,1.7471,-0.1774,-0.2251,3.3993,6.3600,0.5000,15.0000,0.0000,4,3.3108,-0.5132,10,160
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,0,2.0948,-0.2485,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,1,2.4737,-0.3163,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,2,2.8810,-0.3957,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,3,3.3143,-0.4965,9,144
9,2.0948,-0.2485,-0.1791,3.6993,6.2800,0.5000,15.0000,0.0000,4,3.7721,-0.6228,9,144
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,0,2.4737,-0.3163,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,1,2.8806,-0.3978,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,2,3.3141,-0.4978,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,3,3.7729,-0.6201,10,160
10,2.4737,-0.3163,-0.1750,3.9992,6.2000,0.5000,15.0000,0.0000,4,4.2577,-0.7612,10,160
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,0,2.8806,-0.3978,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,1,3.3136,-0.4999,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,2,3.7722,-0.6232,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,3,4.2572,-0.7636,9,144
11,2.8806,-0.3978,-0.2197,4.2992,6.1200,0.5000,15.0000,0.0000,4,4.7765,-0.8912,9,144
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,0,3.3136,-0.4999,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,1,3.7729,-0.6206,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,2,4.2590,-0.7569,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,3,4.7791,-0.8816,8,128
12,3.3136,-0.4999,-0.2431,4.5991,6.0400,0.5000,15.0000,0.0000,4,5.3370,-0.9690,8,128
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,0,3.7729,-0.6206,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,1,4.2597,-0.7547,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,2,4.7808,-0.8747,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,3,5.3395,-0.9571,6,96
13,3.7729,-0.6206,-0.2709,4.8991,5.9600,0.5000,15.0000,0.0000,4,5.9329,-0.9966,6,96
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,0,4.2597,-0.7547,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,1,4.7808,-0.8748,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,2,5.3395,-0.9572,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,3,5.9329,-0.9967,9,144
14,4.2597,-0.7547,-0.2667,5.1991,5.8800,0.5000,15.0000,0.0000,4,6.5576,-0.9883,9,144
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,0,4.7808,-0.8748,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,1,5.3395,-0.9572,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,2,5.9329,-0.9967,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,3,6.5576,-0.9883,4,64
15,4.7808,-0.8748,-0.1868,5.4991,5.8000,0.5000,15.0000,0.0000,4,7.2123,-0.9770,4,64
16,5.3395,-0.9572,-0.1068,5.7991,5.7200,0.5000,15.0000,0.0000,0,5.3395,-0.9572,4,64
16,5.3395,-0.9572,-0.1068,5.7991,5.7200,0.5000,15.0000,0.0000,1,5.9329,-0.9967,4,64
16,5.3395,-0.9572,-0.1068,5.7991,5.7200,0.5000,15.0000,0.0000,2,6.5576,-0.9883,4,64
16,5.3395,-0.9572,-0.1068,5.7991,5.7200,0.5000,15.0000,0.0000,3,7.2095,-0.9272,4,64
16,5.3395,-0.9572,-0.1068,5.7991,5.7200,0.5000,15.0000,0.0000,4,7.8863,-0.8227,4,64
17,5.9329,-0.9967,-0.0268,6.0991,5.6400,0.5000,15.0000,0.0000,0,5.9329,-0.9967,7,112
17,5.9329,-0.9967,-0.0268,6.0991,5.6400,0.5000,15.0000,0.0000,1,6.5576,-0.9883,7,112
17,5.9329,-0.9967,-0.0268,6.0991,5.6400,0.5000,15.0000,0.0000,2,7.2122,-0.9704,7,112
17,5.9329,-0.9967,-0.0268,6.0991,5.6400,0.5000,15.0000,0.0000,3,7.8962,-0.9415,7,112
17,5.9329,-0.9967,-0.0268,6.0991,5.6400,0.5000,15.0000,0.0000,4,8.6056,-0.8545,7,112
18,6.5576,-0.9883,0.0532,6.3989,5.5600,0.5000,15.0000,0.0000,0,6.5576,-0.9883,6,96
18,6.5576,-0.9883,0.0532,6.3989,5.5600,0.5000,15.0000,0.0000,1,7.2095,-0.9272,6,96
18,6.5576,-0.9883,0.0532,6.3989,5.5600,0.5000,15.0000,0.0000,2,7.8868,-0.8263,6,96
18,6.5576,-0.9883,0.0532,6.3989,5.5600,0.5000,15.0000,0.0000,3,8.5961,-0.7392,6,96
18,6.5576,-0.9883,0.0532,6.3989,5.5600,0.5000,15.0000,0.0000,4,9.3401,-0.7077,6,96
19,7.2095,-0.9272,0.1331,6.6986,5.4800,0.5000,15.0000,0.0000,0,7.2095,-0.9272,15,240
19,7.2095,-0.9272,0.1331,6.6986,5.4800,0.5000,15.0000,0.0000,1,7.8910,-0.8617,15,240
19,7.2095,-0.9272,0.1331,6.6986,5.4800,0.5000,15.0000,0.0000,2,8.6022,-0.7909,15,240
19,7.2095,-0.9272,0.1331,6.6986,5.4800,0.5000,15.0000,0.0000,3,9.3349,-0.6582,15,240
19,7.2095,-0.9272,0.1331,6.6986,5.4800,0.5000,15.0000,0.0000,4,10.0457,-0.4704,15,240
20,7.8910,-0.8617,0.0591,6.9986,5.4000,0.5000,15.0000,0.0000,0,7.8910,-0.8617,15,240
20,7.8910,-0.8617,0.0591,6.9986,5.4000,0.5000,15.0000,0.0000,1,8.6052,-0.8322,15,240
20,7.8910,-0.8617,0.0591,6.9986,5.4000,0.5000,15.0000,0.0000,2,9.3498,-0.8445,15,240
20,7.8910,-0.8617,0.0591,6.9986,5.4000,0.5000,15.0000,0.0000,3,10.0842,-0.8648,15,240
20,7.8910,-0.8617,0.0591,6.9986,5.4000,0.5000,15.0000,0.0000,4,10.7683,-0.8366,15,240
21,8.6052,-0.8322,0.0237,7.2986,5.3200,0.5000,15.0000,0.0000,0,8.6052,-0.8322,15,240
21,8.6052,-0.8322,0.0237,7.2986,5.3200,0.5000,15.0000,0.0000,1,9.3484,-0.7846,15,240
21,8.6052,-0.8322,0.0237,7.2986,5.3200,0.5000,15.0000,0.0000,2,10.0761,-0.6796,15,240
21,8.6052,-0.8322,0.0237,7.2986,5.3200,0.5000,15.0000,0.0000,3,10.7449,-0.5277,15,240
21,8.6052,-0.8322,0.0237,7.2986,5.3200,0.5000,15.0000,0.0000,4,11.3649,-0.3862,15,240
22,9.3484,-0.7846,0.1037,7.5985,5.2400,0.5000,15.0000,0.0000,0,9.3484,-0.7846,3,48
22,9.3484,-0.7846,0.1037,7.5985,5.2400,0.5000,15.0000,0.0000,1,10.0815,-0.7374,3,48
22,9.3484,-0.7846,0.1037,7.5985,5.2400,0.5000,15.0000,0.0000,2,10.7662,-0.7244,3,48
22,9.3484,-0.7846,0.1037,7.5985,5.2400,0.5000,15.0000,0.0000,3,11.4000,-0.6904,3,48
22,9.3484,-0.7846,0.1037,7.5985,5.2400,0.5000,15.0000,0.0000,4,11.9795,-0.6125,3,48
23,10.0815,-0.7374,0.0238,7.0985,5.1600,0.5000,15.0000,0.0000,0,10.0815,-0.7374,4,64
23,10.0815,-0.7374,0.0238,7.0985,5.1600,0.5000,15.0000,0.0000,1,10.7648,-0.6941,4,64
23,10.0815,-0.7374,0.0238,7.0985,5.1600,0.5000,15.0000,0.0000,2,11.3930,-0.6035,4,64
23,10.0815,-0.7374,0.0238,7.0985,5.1600,0.5000,15.0000,0.0000,3,11.9694,-0.5047,4,64
23,10.0815,-0.7374,0.0238,7.0985,5.1600,0.5000,15.0000,0.0000,4,12.4987,-0.4275,4,64
24,10.7648,-0.6941,0.1038,6.5985,5.0800,0.5000,15.0000,0.0000,0,10.7648,-0.6941,9,144
24,10.7648,-0.6941,0.1038,6.5985,5.0800,0.5000,15.0000,0.0000,1,11.3951,-0.6181,9,144
24,10.7648,-0.6941,0.1038,6.5985,5.0800,0.5000,15.0000,0.0000,2,11.9730,-0.5287,9,144
24,10.7648,-0.6941,0.1038,6.5985,5.0800,0.5000,15.0000,0.0000,3,12.4992,-0.4330,9,144
24,10.7648,-0.6941,0.1038,6.5985,5.0800,0.5000,15.0000,0.0000,4,12.9757,-0.3430,9,144
25,11.3951,-0.6181,0.1367,6.0985,5.0000,0.5000,15.0000,0.0000,0,11.3951,-0.6181,3,48
25,11.3951,-0.6181,0.1367,6.0985,5.0000,0.5000,15.0000,0.0000,1,11.9731,-0.5293,3,48
25,11.3951,-0.6181,0.1367,6.0985,5.0000,0.5000,15.0000,0.0000,2,12.5003,-0.4391,3,48
25,11.3951,-0.6181,0.1367,6.0985,5.0000,0.5000,15.0000,0.0000,3,12.9782,-0.3569,3,48
25,11.3951,-0.6181,0.1367,6.0985,5.0000,0.5000,15.0000,0.0000,4,13.4070,-0.2846,3,48
26,11.9731,-0.5293,0.1685,5.5986,4.9200,0.5000,15.0000,0.0000,0,11.9731,-0.5293,15,240
26,11.9731,-0.5293,0.1685,5.5986,4.9200,0.5000,15.0000,0.0000,1,12.5003,-0.4389,15,240
26,11.9731,-0.5293,0.1685,5.5986,4.9200,0.5000,15.0000,0.0000,2,12.9782,-0.3569,15,240
26,11.9731,-0.5293,0.1685,5.5986,4.9200,0.5000,15.0000,0.0000,3,13.4073,-0.2866,15,240
26,11.9731,-0.5293,0.1685,5.5986,4.9200,0.5000,15.0000,0.0000,4,13.7880,-0.2296,15,240
27,12.5003,-0.4389,0.1714,5.0987,4.8400,0.5000,15.0000,0.0000,0,12.5003,-0.4389,3,48
27,12.5003,-0.4389,0.1714,5.0987,4.8400,0.5000,15.0000,0.0000,1,12.9783,-0.3575,3,48
27,12.5003,-0.4389,0.1714,5.0987,4.8400,0.5000,15.0000,0.0000,2,13.4076,-0.2882,3,48
27,12.5003,-0.4389,0.1714,5.0987,4.8400,0.5000,15.0000,0.0000,3,13.7882,-0.2311,3,48
27,12.5003,-0.4389,0.1714,5.0987,4.8400,0.5000,15.0000,0.0000,4,14.1174,-0.1702,3,48
28,12.9783,-0.3575,0.1659,4.5987,4.7600,0.5000,15.0000,0.0000,0,12.9783,-0.3575,6,96
28,12.9783,-0.3575,0.1659,4.5987,4.7600,0.5000,15.0000,0.0000,1,13.4077,-0.2891,6,96
28,12.9783,-0.3575,0.1659,4.5987,4.7600,0.5000,15.0000,0.0000,2,13.7874,-0.2260,6,96
28,12.9783,-0.3575,0.1659,4.5987,4.7600,0.5000,15.0000,0.0000,3,14.1142,-0.1531,6,96
28,12.9783,-0.3575,0.1659,4.5987,4.7600,0.5000,15.0000,0.0000,4,14.3863,-0.0691,6,96
29,13.4077,-0.2891,0.1495,4.0988,4.6800,0.5000,15.0000,0.0000,0,13.4077,-0.2891,7,112
29,13.4077,-0.2891,0.1495,4.0988,4.6800,0.5000,15.0000,0.0000,1,13.7870,-0.2240,7,112
29,13.4077,-0.2891,0.1495,4.0988,4.6800,0.5000,15.0000,0.0000,2,14.1130,-0.1474,7,112
29,13.4077,-0.2891,0.1495,4.0988,4.6800,0.5000,15.0000,0.0000,3,14.3841,-0.0603,7,112
29,13.4077,-0.2891,0.1495,4.0988,4.6800,0.5000,15.0000,0.0000,4,14.6076,0.0120,7,112
30,13.7870,-0.2240,0.1918,3.5989,4.6000,0.5000,15.0000,0.0000,0,13.7870,-0.2240,3,48
30,13.7870,-0.2240,0.1918,3.5989,4.6000,0.5000,15.0000,0.0000,1,14.1130,-0.1474,3,48
30,13.7870,-0.2240,0.1918,3.5989,4.6000,0.5000,15.0000,0.0000,2,14.3841,-0.0603,3,48
30,13.7870,-0.2240,0.1918,3.5989,4.6000,0.5000,15.0000,0.0000,3,14.6075,0.0120,3,48
30,13.7870,-0.2240,0.1918,3.5989,4.6000,0.5000,15.0000,0.0000,4,14.7874,0.0548,3,48
31,14.1130,-0.1474,0.2718,3.0989,4.5200,0.5000,15.0000,0.0000,0,14.1130,-0.1474,3,48
31,14.1130,-0.1474,0.2718,3.0989,4.5200,0.5000,15.0000,0.0000,1,14.3841,-0.0603,3,48
31,14.1130,-0.1474,0.2718,3.0989,4.5200,0.5000,15.0000,0.0000,2,14.6073,0.0128,3,48
31,14.1130,-0.1474,0.2718,3.0989,4.5200,0.5000,15.0000,0.0000,3,14.7868,0.0570,3,48
31,14.1130,-0.1474,0.2718,3.0989,4.5200,0.5000,15.0000,0.0000,4,14.9199,0.0787,3,48
32,14.3841,-0.0603,0.3518,2.5989,4.4400,0.5000,15.0000,0.0000,0,14.3841,-0.0603,4,64
32,14.3841,-0.0603,0.3518,2.5989,4.4400,0.5000,15.0000,0.0000,1,14.6069,0.0140,4,64
32,14.3841,-0.0603,0.3518,2.5989,4.4400,0.5000,15.0000,0.0000,2,14.7860,0.0600,4,64
32,14.3841,-0.0603,0.3518,2.5989,4.4400,0.5000,15.0000,0.0000,3,14.9188,0.0830,4,64
32,14.3841,-0.0603,0.3518,2.5989,4.4400,0.5000,15.0000,0.0000,4,15.0033,0.0910,4,64
33,14.6069,0.0140,0.2897,2.0989,4.3600,0.5000,15.0000,0.0000,0,14.6069,0.0140,5,80
33,14.6069,0.0140,0.2897,2.0989,4.3600,0.5000,15.0000,0.0000,1,14.7860,0.0600,5,80
33,14.6069,0.0140,0.2897,2.0989,4.3600,0.5000,15.0000,0.0000,2,14.9188,0.0830,5,80
33,14.6069,0.0140,0.2897,2.0989,4.3600,0.5000,15.0000,0.0000,3,15.0033,0.0910,5,80
33,14.6069,0.0140,0.2897,2.0989,4.3600,0.5000,15.0000,0.0000,4,15.0408,0.0916,5,80
34,14.7860,0.0600,0.2097,1.5989,4.2800,0.5000,15.0000,0.0000,0,14.7860,0.0600,3,48
34,14.7860,0.0600,0.2097,1.5989,4.2800,0.5000,15.0000,0.0000,1,14.9188,0.0830,3,48
34,14.7860,0.0600,0.2097,1.5989,4.2800,0.5000,15.0000,0.0000,2,15.0033,0.0910,3,48
34,14.7860,0.0600,0.2097,1.5989,4.2800,0.5000,15.0000,0.0000,3,15.0393,0.0916,3,48
34,14.7860,0.0600,0.2097,1.5989,4.2800,0.5000,15.0000,0.0000,4,15.0506,0.0909,3,48
35,14.9188,0.0830,0.1297,1.0989,4.2000,0.5000,15.0000,0.0000,0,14.9188,0.0830,3,48
35,14.9188,0.0830,0.1297,1.0989,4.2000,0.5000,15.0000,0.0000,1,15.0033,0.0910,3,48
35,14.9188,0.0830,0.1297,1.0989,4.2000,0.5000,15.0000,0.0000,2,15.0383,0.0916,3,48
35,14.9188,0.0830,0.1297,1.0989,4.2000,0.5000,15.0000,0.0000,3,15.0476,0.0910,3,48
35,14.9188,0.0830,0.1297,1.0989,4.2000,0.5000,15.0000,0.0000,4,15.0574,0.0895,3,48
36,15.0033,0.0910,0.0497,0.5989,4.1200,0.5000,15.0000,0.0000,0,15.0033,0.0910,5,80
36,15.0033,0.0910,0.0497,0.5989,4.1200,0.5000,15.0000,0.0000,1,15.0382,0.0916,5,80
36,15.0033,0.0910,0.0497,0.5989,4.1200,0.5000,15.0000,0.0000,2,15.0469,0.0910,5,80
36,15.0033,0.0910,0.0497,0.5989,4.1200,0.5000,15.0000,0.0000,3,15.0552,0.0898,5,80
36,15.0033,0.0910,0.0497,0.5989,4.1200,0.5000,15.0000,0.0000,4,15.0651,0.0874,5,80
37,15.0382,0.0916,-0.0303,0.0989,4.0400,0.5000,15.0000,0.0000,0,15.0382,0.0916,7,112
37,15.0382,0.0916,-0.0303,0.0989,4.0400,0.5000,15.0000,0.0000,1,15.0466,0.0911,7,112
37,15.0382,0.0916,-0.0303,0.0989,4.0400,0.5000,15.0000,0.0000,2,15.0538,0.0900,7,112
37,15.0382,0.0916,-0.0303,0.0989,4.0400,0.5000,15.0000,0.0000,3,15.0621,0.0880,7,112
37,15.0382,0.0916,-0.0303,0.0989,4.0400,0.5000,15.0000,0.0000,4,15.0717,0.0849,7,112
38,15.0466,0.0911,-0.1103,0.0691,3.9600,0.5000,15.0000,0.0000,0,15.0466,0.0911,6,96
38,15.0466,0.0911,-0.1103,0.0691,3.9600,0.5000,15.0000,0.0000,1,15.0534,0.0900,6,96
38,15.0466,0.0911,-0.1103,0.0691,3.9600,0.5000,15.0000,0.0000,2,15.0606,0.0883,6,96
38,15.0466,0.0911,-0.1103,0.0691,3.9600,0.5000,15.0000,0.0000,3,15.0687,0.0858,6,96
38,15.0466,0.0911,-0.1103,0.0691,3.9600,0.5000,15.0000,0.0000,4,15.0781,0.0818,6,96
39,15.0534,0.0900,-0.1903,0.0700,3.8800,0.5000,15.0000,0.0000,0,15.0534,0.0900,15,240
39,15.0534,0.0900,-0.1903,0.0700,3.8800,0.5000,15.0000,0.0000,1,15.0602,0.0884,15,240
39,15.0534,0.0900,-0.1903,0.0700,3.8800,0.5000,15.0000,0.0000,2,15.0673,0.0862,15,240
39,15.0534,0.0900,-0.1903,0.0700,3.8800,0.5000,15.0000,0.0000,3,15.0752,0.0829,15,240
39,15.0534,0.0900,-0.1903,0.0700,3.8800,0.5000,15.0000,0.0000,4,15.0844,0.0782,15,240
40,15.0602,0.0884,-0.2703,0.0696,3.8000,0.5000,15.0000,0.0000,0,15.0602,0.0884,9,144
